CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	1190000	BROOKS,SUSAN
Citizens for a Working America PAC	3028224	BROOKS,SUSAN
Citizens for a Working America PAC	3028224	BROOKS,SUSAN
OHIO LEGISLATIVE BLACK CAUCUS ACTION FUND	520572	BEATTY,JOYCE
OHIO LEGISLATIVE BLACK CAUCUS ACTION FUND	113902	BEATTY,JOYCE
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	2079874	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	60000	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	60000	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	2117131	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	2717131	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	2000000	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	2565581	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	150000	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	60000	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	166719	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	60000	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	165774	BONNER,JO
CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC	165774	BONNER,JO
AMERICANS FOR TAX REFORM	965300	BARROW,JOHN
AMERICANS FOR TAX REFORM	13001625	BARROW,JOHN
AMERICANS FOR TAX REFORM	13634985	BARROW,JOHN
AMERICANS FOR TAX REFORM	1351300	BARROW,JOHN
AMERICANS FOR TAX REFORM	40356225	BARROW,JOHN
AMERICANS FOR TAX REFORM	1362100	BARROW,JOHN
AMERICANS FOR TAX REFORM	40356225	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	1250000	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	2139000	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	11210600	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	6617804	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	6624472	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	6631583	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	2479400	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	4050594	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	1286916	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	1700000	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	2917900	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	4000000	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	7217079	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	5870733	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	2234200	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	343000	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	2086000	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	2126400	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	18389816	BARROW,JOHN
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	1417333	BARROW,JOHN
