Legislator1, Legislator2, SimilarVotes
H001045,H001045, 386676
H001052,H001052, 249395
H001053,H001053, 253702
H000329,H000329, 364226
H001054,H001054, 251096
H001055,H001055, 254637
H001036,H001036, 362353
H000528,H000528, 348545
H001056,H001056, 246101
H001057,H001057, 231178
H001058,H001058, 231834
H001059,H001059, 238218
H001048,H001048, 346277
H001060,H001060, 230795
I000056,I000056, 339846
J000290,J000290, 339672
J000285,J000285, 302750
J000292,J000292, 227784
J000174,J000174, 316701
J000255,J000255, 309161
K000376,K000376, 227041
K000362,K000362, 309609
K000210,K000210, 319249
K000220,K000220, 305554
K000378,K000378, 213931
K000363,K000363, 315376
L000573,L000573, 194537
L000564,L000564, 294596
L000567,L000567, 312547
L000574,L000574, 183532
L000575,L000575, 205332
L000111,L000111, 303724
L000553,L000553, 290426
L000566,L000566, 295671
L000554,L000554, 291527
L000576,L000576, 184302
L000491,L000491, 284722
L000569,L000569, 280752
L000571,L000571, 259115
L000517,L000517, 273916
M001155,M001155, 229867
M001138,M001138, 250468
M001158,M001158, 239623
M001179,M001179, 170744
M001142,M001142, 261690
M001165,M001165, 254790
M001157,M001157, 255497
M001177,M001177, 236777
M001147,M001147, 220577
M001156,M001156, 239414
M000508,M000508, 243941
M001180,M001180, 166353
M001159,M001159, 232996
M001181,M001181, 164010
M000689,M000689, 235537
M001144,M001144, 219567
M001150,M001150, 232192
M001139,M001139, 214167
M001182,M001182, 142652
M001151,M001151, 219945
M001134,M001134, 197839
N000182,N000182, 204620
N000184,N000184, 145445
N000185,N000185, 142899
N000181,N000181, 201322
N000186,N000186, 138070
O000168,O000168, 198845
O000169,O000169, 189542
P000601,P000601, 137323
P000594,P000594, 192146
P000588,P000588, 127692
P000587,P000587, 169052
P000265,P000265, 177121
P000373,P000373, 175795
P000585,P000585, 171085
P000592,P000592, 163570
P000602,P000602, 117784
P000599,P000599, 168518
P000591,P000591, 160435
Q000024,Q000024, 105069
R000585,R000585, 117430
R000571,R000571, 158430
R000578,R000578, 152309
R000586,R000586, 107209
R000587,R000587, 101110
R000589,R000589, 103160
R000590,R000590, 101840
R000591,R000591, 102698
R000582,R000582, 145638
R000575,R000575, 145147
R000395,R000395, 142797
R000572,R000572, 138981
R000409,R000409, 125132
R000592,R000592, 86598
R000583,R000583, 130866
R000435,R000435, 131715
R000580,R000580, 128802
R000573,R000573, 130111
R000593,R000593, 83462
R000487,R000487, 118178
R000594,R000594, 84105
R000570,R000570, 110784
S001176,S001176, 110224
S001182,S001182, 71261
S001164,S001164, 102082
S001179,S001179, 102116
S001183,S001183, 66761
S001184,S001184, 63979
S001189,S001189, 64004
S000244,S000244, 89967
S000250,S000250, 88972
S000364,S000364, 86611
S001154,S001154, 83703
S001148,S001148, 81306
S001172,S001172, 77323
S000522,S000522, 76905
S000583,S000583, 73914
S001186,S001186, 47747
S000822,S000822, 63870
S001187,S001187, 41473
S001188,S001188, 43316
T000459,T000459, 56414
T000467,T000467, 54179
T000238,T000238, 50782
T000462,T000462, 48680
T000470,T000470, 33092
T000471,T000471, 17318
T000463,T000463, 41502
U000031,U000031, 39489
W000798,W000798, 24969
W000791,W000791, 32849
W000811,W000811, 20240
W000806,W000806, 18871
W000807,W000807, 16743
W000796,W000796, 19661
W000413,W000413, 18188
W000795,W000795, 15278
W000804,W000804, 13526
W000672,W000672, 11385
W000809,W000809, 8005
W000810,W000810, 6179
Y000063,Y000063, 4025
Y000033,Y000033, 2703
Y000031,Y000031, 1303
B001256,B001256, 505128
B001270,B001270, 324606
B001259,B001259, 510071
C000556,C000556, 475979
C000794,C000794, 445264
F000461,F000461, 291482
G000021,G000021, 403705
G000554,G000554, 150703
G000544,G000544, 377673
J000289,J000289, 311945
K000172,K000172, 303421
L000274,L000274, 265878
M000485,M000485, 237025
M001137,M001137, 204669
P000583,P000583, 115356
P000197,P000197, 108186
P000258,P000258, 176912
P000598,P000598, 149250
S001185,S001185, 53143
S001165,S001165, 73962
S000480,S000480, 62721
S001155,S001155, 56841
S213,S213, 49598
S289,S289, 44973
S340,S340, 28888
S317,S317, 41986
S127,S127, 49371
S319,S319, 47734
S330,S330, 48565
S167,S167, 46428
S341,S341, 29587
S342,S342, 27120
S343,S343, 26821
S307,S307, 44161
S335,S335, 40823
S300,S300, 35169
S308,S308, 42235
S277,S277, 41962
S309,S309, 40896
S290,S290, 34306
S212,S212, 23700
S136,S136, 35822
S252,S252, 37651
S201,S201, 37709
S337,S337, 26851
S310,S310, 32234
S287,S287, 30238
S266,S266, 28734
S253,S253, 35397
S254,S254, 28212
S221,S221, 34421
S332,S332, 33560
S331,S331, 32931
S293,S293, 27194
S153,S153, 26792
S320,S320, 31467
S172,S172, 29499
S118,S118, 22425
S352,S352, 13414
S344,S344, 18029
S235,S235, 22061
S236,S236, 20876
S051,S051, 26481
S305,S305, 21223
S321,S321, 22679
S257,S257, 27680
S173,S173, 25758
S339,S339, 8430
S311,S311, 25781
S209,S209, 24269
S243,S243, 18380
S258,S258, 23498
S166,S166, 21821
S057,S057, 21967
S131,S131, 21461
S210,S210, 20059
S105,S105, 17053
S338,S338, 13817
S174,S174, 14169
S306,S306, 17787
S322,S322, 16977
S182,S182, 16323
S347,S347, 8742
S288,S288, 12933
S229,S229, 14904
S282,S282, 14621
S283,S283, 13189
S349,S349, 7399
S295,S295, 12747
S259,S259, 12210
S198,S198, 11501
S323,S323, 8326
S260,S260, 8053
S313,S313, 8857
S270,S270, 8634
S261,S261, 6266
S324,S324, 7747
S184,S184, 5549
S245,S245, 5851
S284,S284, 5965
S314,S314, 5247
S303,S303, 3621
S351,S351, 1885
S325,S325, 4096
S326,S326, 3355
S299,S299, 1749
S327,S327, 2271
S315,S315, 1603
S316,S316, 985
S318,S318, 277
S223,S223, 42828
S275,S275, 42565
S301,S301, 30122
S302,S302, 22561
S345,S345, 13127
S346,S346, 9136
S197,S197, 14341
S312,S312, 18140
S176,S176, 9558
