Kirk,Mark	K000360
Kline,John	K000363
Labrador,Raúl	L000573
Lamborn,Doug	L000564
Lance,Leonard	L000567
Langevin,James	L000559
Lankford,James	L000575
Larsen,Rick	L000560
Larson,John	L000557
Latham,Tom	L000111
Latta,Robert	L000566
Leahy,Patrick	L000174
Lee,Barbara	L000551
Lee,Mike	L000577
Levin,Sander	L000263
Lewis,John	L000287
Lipinski,Daniel	L000563
LoBiondo,Frank	L000554
Loebsack,David	L000565
Lofgren,Zoe	L000397
Long,Billy	L000576
Lowey,Nita	L000480
Lucas,Frank	L000491
Luetkemeyer,Blaine	L000569
Luján,Ben	L000570
Lummis,Cynthia	L000571
Lynch,Stephen	L000562
Maloney,Carolyn	M000087
Marchant,Kenny	M001158
Marino,Tom	M001179
Markey,Edward	M000133
Matheson,Jim	M001142
Matsui,Doris	M001163
McCain,John	M000303
McCarthy,Carolyn	M000309
McCarthy,Kevin	M001165
McCaul,Michael	M001157
McClintock,Tom	M001177
McCollum,Betty	M001143
McDermott,Jim	M000404
McGovern,James	M000312
McHenry,Patrick	M001156
McIntyre,Mike	M000485
McKeon,Howard	M000508
McKinley,David	M001180
McMorris Rodgers,Cathy	M001159
McNerney,Jerry	M001166
Meehan,Patrick	M001181
Meeks,Gregory	M001137
Mica,John	M000689
Michaud,Michael	M001149
Mikulski,Barbara	M000702
Miller,Candice	M001150
Miller,Gary	M001139
Miller,George	M000725
Miller,Jeff	M001144
Moore,Gwen	M001160
Moran,James	M000933
Moran,Jerry	M000934
Mulvaney,Mick	M001182
Murkowski,Lisa	M001153
Murphy,Christopher	M001169
Murphy,Tim	M001151
Murray,Patty	M001111
Nadler,Jerrold	N000002
Napolitano,Grace	N000179
Neal,Richard	N000015
Neugebauer,Randy	N000182
Noem,Kristi	N000184
Norton,Eleanor	N000147
Nugent,Richard	N000185
Nunes,Devin	N000181
Nunnelee,Alan	N000186
Olson,Pete	O000168
Owens,William	O000169
Palazzo,Steven	P000601
Pallone,Frank	P000034
Pascrell,Bill	P000096
Pastor,Ed	P000099
Paul,Rand	P000603
Paulsen,Erik	P000594
Pearce,Stevan	P000588
Pelosi,Nancy	P000197
Perlmutter,Ed	P000593
Peters,Gary	P000595
Peterson,Collin	P000258
Petri,Thomas	P000265
Pierluisi,Pedro	P000596
Pingree,Chellie	P000597
Pitts,Joseph	P000373
Poe,Ted	P000592
Polis,Jared	P000598
Pompeo,Mike	P000602
Portman,Robert	P000449
Posey,Bill	P000599
Price,David	P000523
Price,Tom	P000591
Quigley,Mike	Q000023
Rahall,Nick	R000011
Rangel,Charles	R000053
Reed,Tom	R000585
Reichert,David	R000578
Reid,Harry	R000146
Renacci,James	R000586
Ribble,Reid	R000587
Richmond,Cedric	R000588
Rigell,E.	R000589
Roby,Martha	R000591
Roe,David	R000582
Rogers,Harold	R000395
Rogers,Mike	R000572
Rogers,Mike	R000575
Rohrabacher,Dana	R000409
Rokita,Todd	R000592
Rooney,Thomas	R000583
Ros-Lehtinen,Ileana	R000435
Roskam,Peter	R000580
Ross,Dennis	R000593
Roybal-Allard,Lucille	R000486
Royce,Edward	R000487
Rubio,Marco	R000595
Runyan,Jon	R000594
Ruppersberger,C.	R000576
Rush,Bobby	R000515
Ryan,Paul	R000570
Ryan,Tim	R000577
Sablan,Gregorio	S001177
Sanchez,Loretta	S000030
Sarbanes,John	S001168
Scalise,Steve	S001176
Schakowsky,Janice	S001145
Schiff,Adam	S001150
Schock,Aaron	S001179
Schrader,Kurt	S001180
Schumer,Charles	S000148
Schwartz,Allyson	S001162
Schweikert,David	S001183
Scott,Austin	S001189
Scott,David	S001157
Scott,Robert	S000185
Scott,Tim	S001184
Sensenbrenner,F.	S000244
Serrano,José	S000248
Sessions,Pete	S000250
Sewell,Terri	S001185
Shelby,Richard	S000320
Sherman,Brad	S000344
Shimkus,John	S000364
Shuster,Bill	S001154
Simpson,Michael	S001148
Sires,Albio	S001165
Slaughter,Louise	S000480
Smith,Adam	S000510
Smith,Adrian	S001172
Smith,Christopher	S000522
Smith,Lamar	S000583
Southerland,Steve	S001186
Speier,Jackie	S001175
Stivers,Steve	S001187
Stutzman,Marlin	S001188
Sánchez,Linda	S001156
Terry,Lee	T000459
Thompson,Bennie	T000193
Thompson,Mike	T000460
Thompson,Glenn	T000467
Thornberry,Mac	T000238
Thune,John	T000250
Tiberi,Patrick	T000462
Tierney,John	T000266
Tipton,Scott	T000470
Tonko,Paul	T000469
Toomey,Patrick	T000461
Tsongas,Niki	T000465
Turner,Michael	T000463
Upton,Fred	U000031
Van Hollen,Chris	V000128
Velázquez,Nydia	V000081
Visclosky,Peter	V000108
Vitter,David	V000127
Walberg,Tim	W000798
Walden,Greg	W000791
Walz,Timothy	W000799
Wasserman Schultz,Debbie	W000797
Waters,Maxine	W000187
Watt,Melvin	W000207
Waxman,Henry	W000215
Webster,Daniel	W000806
Wilson,Frederica	W000808
Welch,Peter	W000800
Westmoreland,Lynn	W000796
Whitfield,Ed	W000413
Wilson,Joe	W000795
Wittman,Robert	W000804
Wolf,Frank	W000672
Womack,Steve	W000809
Woodall,Rob	W000810
Wyden,Ron	W000779
Yarmuth,John	Y000062
Yoder,Kevin	Y000063
Young,C.	Y000031
Young,Don	Y000033
Young,Todd	Y000064
Heller,Dean	H001041
Hahn,Janice	H001063
Amodei,Mark	A000369
Bonamici,Suzanne	B001278
Barber,Ron	B001279
DelBene,Suzan	D000617
Massie,Thomas	M001184
